date,hour,battery_soc,pvout,price,action,cumrev_agent,cumrev_dp,gap,gap_pct,cumrev_baseline
2022-09-15,17.0,2.0425658226013184,0.130582907,59.36,1.9780644,476.03009141438815,408.12723,-67.90286141438816,-16.63766992817121,381.55155935194125
2022-09-15,17.5,0.06450140476226807,0.0740831,59.0,0.0644814,484.20539691163685,412.49323,-71.71216691163687,-17.385053061752522,385.9224622519414
2022-09-15,18.0,2.000480890274048e-05,0.022998199,59.09,2.0004809e-05,485.5655425747045,532.0323,46.46675742529544,8.733822631688987,387.28142583085173
2022-09-15,18.5,0.0,0.007643913,58.94,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,19.0,0.0,0.0,49.85,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,19.5,0.0,0.0,45.75,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,20.0,0.0,0.0,44.47,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,20.5,0.0,0.0,41.24,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,21.0,0.0,0.0,39.85,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,21.5,0.0,0.0,38.57,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,22.0,0.0,0.0,29.99,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,22.5,0.0,0.0,33.0,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,23.0,0.0,0.0,24.6,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-15,23.5,0.0,0.0,24.41,0.0,486.01607480692473,532.50382,46.487745193075284,8.730030367308029,387.73195806307194
2022-09-16,0.0,0.0,0.0,19.96,0.0,0.0,0.0,0.0,,0.0
2022-09-16,0.5,0.0,0.0,23.93,0.0,0.0,0.0,0.0,,0.0
2022-09-16,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,1.5,0.0,0.0,23.37,0.0,0.0,0.0,0.0,,0.0
2022-09-16,2.0,0.0,0.0,22.97,0.0,0.0,0.0,0.0,,0.0
2022-09-16,2.5,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,3.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,4.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,4.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.0
2022-09-16,5.5,0.0,0.014641406,28.0,0.0,0.40995936800027266,0.028,-0.38195936800027264,-1364.1406000009736,0.40995936800027266
2022-09-16,6.0,0.0,0.027644008,28.0,0.0,1.1839915920008934,0.084,-1.0999915920008934,-1309.5138000010634,1.183991591999984
2022-09-16,6.5,0.0,0.15042553,28.0,0.0,5.395906432000629,5.404,0.008093567999370777,0.14976994817488484,5.39590643199972
2022-09-16,7.0,0.0,0.268167404,25.0,0.0,12.100091532000079,12.104,0.003908467999920617,0.0322907138129595,12.100091532000079
2022-09-16,7.5,0.0,0.458205369,23.37,-0.45812276,12.102022102986666,22.80746,10.705437897013333,46.93831709893751,22.808351005530312
2022-09-16,8.0,0.45812276005744934,0.797514914,20.4,-0.7975149,12.102022102986666,39.08666,26.984637897013336,69.03797330601626,39.077655251130636
2022-09-16,8.5,1.2556376457214355,0.971211793,12.66,-0.9712118,12.10202212781951,39.08666,26.984637872180492,69.03797324248347,51.37319655051033
